PCO_NAME,BNF_CHAPTER_PLUS_CODE,,,PCO_NAME,BNF_CHAPTER_PLUS_CODE,,,PCO_NAME,BNF_CHAPTER_PLUS_CODE,,,,,PCO_NAME,BNF_CHAPTER_PLUS_CODE,,,,,,,,
MANCHESTER CCG,21: Appliances,4.65412,,MANCHESTER CCG,23: Stoma Appliances,58.82392,,MANCHESTER CCG,22: Incontinence Appliances,97.5131,,,,MANCHESTER UNIVERSITY NHS FT,21: Appliances,133.5528,,MANCHESTER CCG,23: Stoma Appliances,36.7351,,22: Incontinence Appliances,9.2024
MANCHESTER CCG,21: Appliances,678.65652,,MANCHESTER CCG,23: Stoma Appliances,172.67907,,MANCHESTER CCG,22: Incontinence Appliances,24.6618,,,,MANCHESTER UNIVERSITY NHS FT,21: Appliances,39.35547,,MANCHESTER CCG,23: Stoma Appliances,27.78727,,22: Incontinence Appliances,88.35426
MANCHESTER CCG,21: Appliances,2.39213,,MANCHESTER CCG,23: Stoma Appliances,9.92793,,MANCHESTER CCG,22: Incontinence Appliances,101.81707,,,,MANCHESTER UNIVERSITY NHS FT,21: Appliances,64.367,,MANCHESTER CCG,23: Stoma Appliances,100.05286,,22: Incontinence Appliances,37.56406
MANCHESTER CCG,21: Appliances,0.93269,,MANCHESTER CCG,23: Stoma Appliances,170.02046,,MANCHESTER CCG,22: Incontinence Appliances,67.26452,,,,MANCHESTER UNIVERSITY NHS FT,21: Appliances,33.36337,,MANCHESTER CCG,23: Stoma Appliances,19.74605,,22: Incontinence Appliances,28.77148
MANCHESTER CCG,21: Appliances,12.15273,,MANCHESTER CCG,23: Stoma Appliances,264.70764,,MANCHESTER CCG,22: Incontinence Appliances,48.75655,,,,MANCHESTER UNIVERSITY NHS FT,21: Appliances,3.43693,,MANCHESTER CCG,23: Stoma Appliances,24.67633,,22: Incontinence Appliances,16.93317
MANCHESTER CCG,21: Appliances,3.82143,,MANCHESTER CCG,23: Stoma Appliances,42.48188,,MANCHESTER CCG,22: Incontinence Appliances,7.85496,,,,MANCHESTER CCG,21: Appliances,16.64129,,MANCHESTER CCG,23: Stoma Appliances,195.6908,,22: Incontinence Appliances,50.65979
MANCHESTER CCG,21: Appliances,7.62567,,MANCHESTER CCG,23: Stoma Appliances,148.95615,,MANCHESTER CCG,22: Incontinence Appliances,24.6618,,,,MANCHESTER CCG,21: Appliances,3.28168,,MANCHESTER CCG,23: Stoma Appliances,206.88644,,22: Incontinence Appliances,74.07563
MANCHESTER CCG,21: Appliances,31.02326,,MANCHESTER CCG,23: Stoma Appliances,101.56608,,MANCHESTER CCG,22: Incontinence Appliances,243.08557,,,,MANCHESTER CCG,21: Appliances,8.39201,,MANCHESTER CCG,23: Stoma Appliances,208.04139,,22: Incontinence Appliances,23.9188
MANCHESTER CCG,21: Appliances,9.24625,,MANCHESTER CCG,23: Stoma Appliances,25.41476,,MANCHESTER CCG,22: Incontinence Appliances,28.99365,,,,MANCHESTER CCG,21: Appliances,60.26888,,MANCHESTER CCG,23: Stoma Appliances,586.12235,,22: Incontinence Appliances,99.82932
MANCHESTER CCG,21: Appliances,3.80509,,MANCHESTER CCG,23: Stoma Appliances,76.35583,,MANCHESTER CCG,22: Incontinence Appliances,48.75655,,,,MANCHESTER CCG,21: Appliances,3.60767,,MANCHESTER CCG,23: Stoma Appliances,9.18378,,22: Incontinence Appliances,49.38375
MANCHESTER CCG,21: Appliances,5.1251,,MANCHESTER CCG,23: Stoma Appliances,24.59054,,MANCHESTER CCG,22: Incontinence Appliances,7.85496,,,,MANCHESTER CCG,21: Appliances,112.49008,,MANCHESTER CCG,23: Stoma Appliances,171.5112,,22: Incontinence Appliances,22.29813
MANCHESTER CCG,21: Appliances,7.41187,,MANCHESTER CCG,23: Stoma Appliances,2.78255,,MANCHESTER CCG,22: Incontinence Appliances,234.51483,,,,MANCHESTER CCG,21: Appliances,47.42772,,MANCHESTER CCG,23: Stoma Appliances,43.32954,,22: Incontinence Appliances,45.71397
MANCHESTER CCG,21: Appliances,5.58059,,MANCHESTER CCG,23: Stoma Appliances,36.97256,,MANCHESTER CCG,22: Incontinence Appliances,43.5323,,,,MANCHESTER CCG,21: Appliances,44.73272,,MANCHESTER CCG,23: Stoma Appliances,25.02096,,22: Incontinence Appliances,60.6539
MANCHESTER CCG,21: Appliances,5.83158,,MANCHESTER CCG,23: Stoma Appliances,47.69683,,MANCHESTER CCG,22: Incontinence Appliances,72.92567,,,,MANCHESTER CCG,21: Appliances,4.85577,,MANCHESTER CCG,23: Stoma Appliances,59.36855,,22: Incontinence Appliances,198.09386
MANCHESTER CCG,21: Appliances,1.10001,,MANCHESTER CCG,23: Stoma Appliances,12.31387,,MANCHESTER CCG,22: Incontinence Appliances,50.68079,,,,MANCHESTER CCG,21: Appliances,9.25206,,MANCHESTER CCG,23: Stoma Appliances,155.43494,,22: Incontinence Appliances,17.40819
MANCHESTER CCG,21: Appliances,11.39977,,MANCHESTER CCG,23: Stoma Appliances,38.53115,,MANCHESTER CCG,22: Incontinence Appliances,37.49002,,,,MANCHESTER CCG,21: Appliances,6.54164,,MANCHESTER CCG,23: Stoma Appliances,88.70819,,22: Incontinence Appliances,51.21864
MANCHESTER CCG,21: Appliances,51.77769,,MANCHESTER CCG,23: Stoma Appliances,48.21739,,MANCHESTER CCG,22: Incontinence Appliances,48.41261,,,,MANCHESTER CCG,21: Appliances,5.57605,,MANCHESTER CCG,23: Stoma Appliances,27.81207,,22: Incontinence Appliances,49.91466
MANCHESTER CCG,21: Appliances,349.82012,,MANCHESTER CCG,23: Stoma Appliances,25.0987,,MANCHESTER CCG,22: Incontinence Appliances,40.93877,,,,MANCHESTER CCG,21: Appliances,160.53911,,MANCHESTER CCG,23: Stoma Appliances,8.34859,,22: Incontinence Appliances,45.71397
MANCHESTER CCG,21: Appliances,25.80518,,MANCHESTER CCG,23: Stoma Appliances,260.18987,,MANCHESTER CCG,22: Incontinence Appliances,14.31556,,,,MANCHESTER CCG,21: Appliances,0.81033,,MANCHESTER UNIVERSITY NHS FT,23: Stoma Appliances,33.55583,,22: Incontinence Appliances,28.69697
MANCHESTER CCG,21: Appliances,649.44284,,MANCHESTER CCG,23: Stoma Appliances,51.34079,,MANCHESTER CCG,22: Incontinence Appliances,48.61711,,,,MANCHESTER CCG,21: Appliances,183.75003,,MANCHESTER UNIVERSITY NHS FT,23: Stoma Appliances,36.21351,,22: Incontinence Appliances,27.99841
MANCHESTER CCG,21: Appliances,11.35949,,MANCHESTER CCG,23: Stoma Appliances,195.13776,,MANCHESTER CCG,22: Incontinence Appliances,12.10315,,,,MANCHESTER CCG,21: Appliances,25.00856,,MANCHESTER UNIVERSITY NHS FT,23: Stoma Appliances,36.67299,,22: Incontinence Appliances,49.39615
MANCHESTER CCG,21: Appliances,149.9415,,MANCHESTER CCG,23: Stoma Appliances,12.47498,,MANCHESTER CCG,22: Incontinence Appliances,28.99365,,,,MANCHESTER CCG,21: Appliances,530.90793,,MANCHESTER UNIVERSITY NHS FT,23: Stoma Appliances,151.08802,,22: Incontinence Appliances,8.77395
MANCHESTER CCG,21: Appliances,79.5164,,MANCHESTER CCG,23: Stoma Appliances,14.75246,,MANCHESTER CCG,22: Incontinence Appliances,24.30856,,,,MANCHESTER CCG,21: Appliances,33.54954,,MANCHESTER CCG,23: Stoma Appliances,54.43186,,22: Incontinence Appliances,25.39975
